compound	disease	target	associated_interactors	interactors	TP	TP + FP	precision	associated_target	upregulated_target	downregulated_target
Beclomethasone	asthma	CYP3A5		ATOH8, CYB5A, ETV5, RDH13	0	4	0	0	0	0
Benzatropine	Parkinson's disease	SLC6A3	SNCA	CAMK2A, DRD2, GNB2L1, NEDD4, PICK1, SNCA, SNTA1, STX1A, TGFB1I1, UBC	1	10	0.1	1	0	0
Benzatropine	Parkinson's disease	CYP2C19		POR	0	1	0	0	0	0
Benzatropine	Parkinson's disease	HRH1		IL6, UBC	0	2	0	0	0	0
Benzatropine	Parkinson's disease	CHRM1		ARMCX5-GPRASP2, GNAI2, GPRASP1, GPRASP2	0	4	0	0	0	0
Benzatropine	Parkinson's disease	CHRM2		ARMCX5-GPRASP2, GNA11, GNA14, GNA15, GNG2, GPRASP1, GPRASP2, GRK5, SAG, SET	0	10	0	0	0	0
Benzatropine	schizophrenia	SLC6A3	DRD2	CAMK2A, DRD2, GNB2L1, NEDD4, PICK1, SNCA, SNTA1, STX1A, TGFB1I1, UBC	1	10	0.1	1	0	0
Benzatropine	schizophrenia	CYP2C19		POR	0	1	0	0	0	0
Benzatropine	schizophrenia	HRH1		IL6, UBC	0	2	0	0	0	0
Benzatropine	schizophrenia	CHRM1		ARMCX5-GPRASP2, GNAI2, GPRASP1, GPRASP2	0	4	0	1	0	0
Benzatropine	schizophrenia	CHRM2		ARMCX5-GPRASP2, GNA11, GNA14, GNA15, GNG2, GPRASP1, GPRASP2, GRK5, SAG, SET	0	10	0	0	0	0
Bepridil	hypertension	CALM3	ATP2B1, MYO6	ACADM, ACE2, ADCY8, ADCYAP1R1, ADD1, ADORA2A, AKAP5, AKAP6, AKAP9, AKT1, APPBP2, AR, ARMC1, ARRB1, ARRB2, ASCL2, ATP2B1, AURKB, BRWD1, C11orf65, CABIN1, CACNA1A, CACNA1C, CALCR, CALD1, CALM1, CALM2, CAMK1, CAMK2A, CAMK2B, CAMK2D, CAMK2G, CAMK4, CAMKK1, CAMKK2, CAMTA2, CASP8AP2, CBL, CCDC14, CCNA2, CCND1, CCND2, CCNE1, CCP110, CDC37L1, CDC5L, CEP97, CHUK, CKMT1A, CKMT1B, CLEC7A, CLINT1, CLIP1, CLTB, CNGA2, CNN1, CRHR1, CSNK2A1, CSNK2A2, CSNK2B, CUL1, CUL3, DAPK1, DCTN2, DCUN1D1, DDAH1, DDX21, DDX5, DIRAS2, DLG1, DLG3, DMXL1, DNAJC13, DOCK11, DOCK3, DRD2, EDF1, EEF1D, EGFR, EIF1B, EIF3C, EPHA3, ESR1, ESR2, ESRRG, EWSR1, FAM178A, FAS, FBXO9, FER, FKBP3, FKBP4, FKBP8, GAP43, GCLM, GH1, GJB1, GLP1R, GLP2R, GP6, GRB7, GRIN1, GRK1, GRK4, GRK5, GRM3, GRM4, GRM5, GRM7, GTF2I, H2AFX, HERC2, HLA-B, HLA-C, HMMR, HNF1A, HSP90AA1, HSPA4, HTR2C, HUWE1, IKBKB, IKBKE, IKBKG, INSR, INVS, IQCB1, IQCE, IQGAP1, IQGAP2, ITPKA, ITPKB, JAK2, KCNH1, KCNN2, KCNN3, KCNN4, KCNQ2, KCNQ3, KCNQ5, KIAA0020, KIAA1683, KRAS, LACTB, LMO7, LTF, LY96, MAP3K1, MAP3K14, MAP3K3, MAP3K8, MAPT, MARCKS, MATR3, MBP, METAP2, MINK1, MIP, MORF4L1, MRPL20, MYBPC1, MYCBP2, MYF5, MYF6, MYO10, MYO6, MYO7A, MYO9B, MYOD1, MYOG, NBR1, NDUFAF1, NEB, NEUROD1, NFKB1, NFKB2, NFKBIA, NFKBIB, NFKBIE, NOL7, NOS2, NOS3, NR3C1, NRGN, NT5C2, OBSCN, OPALIN, OPRM1, OPTN, PAM, PCNT, PCP4, PDCD7, PDE1A, PHACTR4, PHKG1, PIK3C3, PINX1, PLCB3, PLCD1, POLR2B, PPEF1, PPEF2, PPIL2, PPP2R2B, PPP3R1, PRDX1, PSMD12, PSMD2, PTAFR, PTH1R, PTH2R, PTPRA, RAB3B, RAD23B, RALA, RALB, RANBP2, RCHY1, RDX, REL, RELA, RELB, RGS10, RGS2, RGS4, RIOK3, RIPK2, RIPK3, RIT2, RPL13A, RPL22, RPS14, RPS15A, RPS4Y1, RPS8, RPSA, RRAD, RYR1, RYR2, S100B, SCHIP1, SCLT1, SCN4A, SCN5A, SCN9A, SCTR, SEC61A1, SET, SF3B1, SLC9A1, SLTM, SLX1A, SLX1B, SMAD2, SNCA, SNRPB2, SNTA1, SNX6, SQSTM1, SRP14, SRSF5, STAG1, STIM2, STK38, STRN, STRN3, STRN4, STX8, SYK, SYNE2, SYT1, TAB1, TAB2, TANK, TBK1, TCF3, TCF4, TFCP2, TGM2, THOP1, TNF, TNFRSF1A, TNFRSF1B, TNIK, TNNI2, TNNI3, TPT1, TRADD, TRAF2, TRAF6, TRIM54, TRPC3, TRPV1, TRPV4, TRPV6, TSC2, TTN, UBC, UCHL5, USP6, VHL, VIPR1, XRCC4, YBX1, YWHAE, YWHAZ, ZBTB24	2	307	0.00651	0	0	0
Bepridil	hypertension	CALM1	ATP2B1, MYO6	ACADM, ACE2, ADCY8, ADCYAP1R1, ADD1, ADD2, ADORA2A, AKAP5, AKAP6, AKAP9, AKT1, AR, ARMC1, ARRB1, ARRB2, ASCL2, ATP2B1, ATP2B4, AURKB, BRWD1, C11orf65, C4orf3, CABIN1, CACNA1A, CACNA1C, CALCR, CALD1, CALM2, CALM3, CAMK1, CAMK2A, CAMK2B, CAMK2D, CAMK2G, CAMK4, CAMKK1, CAMKK2, CASP8AP2, CBL, CCDC14, CCNA2, CCND1, CCND2, CCNE1, CCP110, CDC37L1, CDC5L, CEP97, CHUK, CKMT1A, CKMT1B, CLINT1, CLIP1, CLTB, CNGA2, CNN1, CRHR1, CSNK2A1, CSNK2A2, CSNK2B, CUL1, CUL3, DAPK1, DCTN2, DCUN1D1, DDAH1, DDX21, DDX5, DIRAS2, DLG1, DLG3, DMXL1, DNAJC13, DOCK11, DOCK3, DRD2, EDF1, EEF1D, EGFR, EIF1B, EIF3C, EPHA3, ESR1, ESR2, ESRRG, EWSR1, FAM178A, FAS, FBXO9, FER, FKBP3, FKBP4, FKBP8, GAP43, GCLM, GH1, GJB1, GLP1R, GLP2R, GP6, GRB7, GRIN1, GRK1, GRK4, GRK5, GRM3, GRM4, GRM5, GRM7, GTF2I, H2AFX, HERC2, HLA-B, HLA-C, HMMR, HNF1A, HSP90AA1, HSPA4, HTR2C, HUWE1, IKBKB, IKBKE, IKBKG, INSR, INVS, IQCB1, IQGAP1, IQGAP2, ITPKA, ITPKB, JAK2, KCNH1, KCNN2, KCNN3, KCNN4, KCNQ2, KCNQ3, KCNQ5, KIAA0020, KIAA1683, KRAS, LACTB, LMO7, LTF, LY96, LYST, MAP3K1, MAP3K14, MAP3K3, MAP3K8, MAPT, MARCKS, MATR3, MBP, METAP2, MINK1, MIP, MORF4L1, MRPL20, MYBPC1, MYCBP2, MYF5, MYF6, MYLK, MYO10, MYO6, MYO7A, MYO9B, MYOD1, MYOG, NBR1, NDUFAF1, NEB, NEUROD1, NFKB1, NFKB2, NFKBIA, NFKBIB, NFKBIE, NOL7, NOS2, NOS3, NR3C1, NRGN, NT5C2, OBSCN, OPALIN, OPRM1, OPTN, PAM, PCNT, PCP4, PDCD7, PDE1A, PHACTR4, PHKG1, PIK3C3, PINX1, PLCB3, PLCD1, POLR2B, PPEF1, PPEF2, PPIL2, PPP2R2B, PPP3CA, PPP3R1, PRDX1, PSMD12, PSMD2, PTAFR, PTH1R, PTH2R, PTPRA, RAB3B, RAD23B, RALA, RALB, RANBP2, RCHY1, RDX, REL, RELA, RELB, RGS10, RGS2, RGS4, RIOK3, RIPK2, RIPK3, RIT2, RPL13A, RPL22, RPS14, RPS15A, RPS4Y1, RPS8, RPSA, RRAD, RYR1, RYR2, S100B, SCHIP1, SCLT1, SCN4A, SCN5A, SCN9A, SCTR, SEC61A1, SET, SF3B1, SLC9A1, SLTM, SLX1A, SLX1B, SMAD2, SNCA, SNRPB2, SNTA1, SNX6, SQSTM1, SRP14, SRSF5, STAG1, STIM2, STK38, STRN, STRN3, STRN4, STX8, SYK, SYNE2, SYT1, TAB1, TAB2, TANK, TBK1, TCF3, TCF4, TFCP2, TGM2, THOP1, TNF, TNFRSF1A, TNFRSF1B, TNIK, TNNI2, TNNI3, TPT1, TRADD, TRAF2, TRAF6, TRPC3, TRPV1, TRPV4, TRPV6, TSC2, TTN, UBC, UCHL5, USP6, VHL, VIPR1, XRCC4, YBX1, YWHAE, YWHAZ, ZBTB24	2	308	0.00649	1	0	0
Bepridil	hypertension	CALM2	ATP2B1, MYO6	ACADM, ACE2, ADAMTS12, ADCY8, ADCYAP1R1, ADD1, ADORA2A, AKAP5, AKAP6, AKAP9, AKT1, AR, ARMC1, ARRB1, ARRB2, ASCL2, ATP2B1, AURKB, BRWD1, C11orf65, CABIN1, CACNA1A, CACNA1C, CALCR, CALD1, CALM1, CALM3, CAMK1, CAMK2A, CAMK2B, CAMK2D, CAMK2G, CAMK4, CAMKK1, CAMKK2, CAMTA2, CASP8AP2, CBL, CCDC14, CCNA2, CCND1, CCND2, CCNE1, CCP110, CDC37L1, CDC5L, CEP97, CHUK, CKMT1A, CKMT1B, CLINT1, CLIP1, CLTB, CNGA2, CNN1, CRHR1, CSNK2A1, CSNK2A2, CSNK2B, CUL1, CUL3, DAPK1, DCTN2, DCUN1D1, DDAH1, DDX21, DDX5, DIRAS2, DLG1, DLG3, DMXL1, DNAJC13, DOCK11, DOCK3, DRD2, EDF1, EEF1D, EGFR, EIF1B, EIF3C, EMP3, EPHA3, ESR1, ESR2, ESRRG, EWSR1, FAM178A, FAS, FBXO9, FER, FKBP3, FKBP4, FKBP8, GAP43, GCLM, GH1, GJB1, GLP1R, GLP2R, GP6, GRB7, GRIN1, GRK1, GRK4, GRK5, GRM3, GRM4, GRM5, GRM7, GTF2I, H2AFX, HERC2, HLA-B, HLA-C, HMMR, HNF1A, HSP90AA1, HSPA4, HTR2C, HUWE1, IKBKB, IKBKE, IKBKG, INSR, INVS, IQCB1, IQCE, IQCJ-SCHIP1, IQGAP1, IQGAP2, IQGAP3, ITPKA, ITPKB, JAK2, JOSD1, KCNH1, KCNN2, KCNN3, KCNN4, KCNQ2, KCNQ3, KCNQ5, KIAA0020, KIAA1683, KRAS, LACTB, LMO7, LTF, LY96, LYST, MAP3K1, MAP3K12, MAP3K14, MAP3K3, MAP3K7, MAP3K8, MAPT, MARCKS, MATR3, MBP, METAP2, MINK1, MIP, MORF4L1, MRPL20, MYBPC1, MYCBP2, MYF5, MYF6, MYLK, MYO10, MYO6, MYO7A, MYO9B, MYOD1, MYOG, NBR1, NDUFAF1, NEB, NEUROD1, NFKB1, NFKB2, NFKBIA, NFKBIB, NFKBIE, NOL7, NOS2, NOS3, NR3C1, NRGN, NT5C2, OBSCN, OPALIN, OPRM1, OPTN, PAM, PCNT, PCP4, PDCD7, PDE1A, PHACTR4, PHKG1, PIK3C3, PINX1, PLCB3, PLCD1, POLR2B, PPEF1, PPEF2, PPIL2, PPP2R2B, PPP3R1, PRDX1, PSMD12, PSMD2, PTAFR, PTH1R, PTH2R, PTPRA, RAB3B, RAD23B, RALA, RALB, RANBP2, RCHY1, RDX, REL, RELA, RELB, RGS10, RGS2, RGS4, RIOK3, RIPK2, RIPK3, RIT2, RPL13A, RPL22, RPS14, RPS15A, RPS4Y1, RPS8, RPSA, RRAD, RYR1, RYR2, S100B, SCHIP1, SCLT1, SCN4A, SCN5A, SCN9A, SCTR, SEC61A1, SET, SF3B1, SLC9A1, SLTM, SLX1A, SLX1B, SMAD2, SNCA, SNRPB2, SNTA1, SNX6, SQSTM1, SRP14, SRSF5, STAG1, STIM2, STK38, STRN, STRN3, STRN4, STX8, SYK, SYNE2, SYT1, TAB1, TAB2, TANK, TBK1, TCF3, TCF4, TFCP2, TGM2, THOP1, TNF, TNFRSF1A, TNFRSF1B, TNIK, TNNI2, TNNI3, TPT1, TRADD, TRAF2, TRAF6, TRPC3, TRPV1, TRPV4, TRPV6, TSC2, TTN, UBC, UCHL5, USP20, USP6, VHL, VIPR1, XRCC4, YBX1, YWHAE, YWHAZ, ZBTB24	2	314	0.00637	1	0	0
Bepridil	hypertension	CACNA2D2		UBC	0	1	0	0	0	0
Bepridil	hypertension	PDE1B		UBE3A	0	1	0	0	0	0
Bepridil	hypertension	CACNA1D		ACTN2, CALB1, FGFR2, STX1A	0	4	0	0	0	0
Bepridil	hypertension	CACNA1H		GNG2, KCND2, KCNMA1, KDM5B, KLHL1	0	5	0	0	0	0
Bepridil	hypertension	PDE1A		APOA1, APP, CALM1, CALM2, CALM3, MAP4K4, UBC	0	7	0	0	0	0
Bepridil	hypertension	TNNC1		CDK1, POLR2G, RBM15B, TCP10L, TNNI1, TNNI2, TNNI3, TNNT1, TNNT2, TRIM63, UBC, UBE2C	0	12	0	0	0	0
Bepridil	hypertension	ABCB1		BCCIP, CAV1, CD4, DHX9, HAX1, LAPTM4B, LNX1, MAPKAP1, PHB2, PIM1, PSMB8, RNF2, UBC	0	13	0	0	0	0
Bepridil	hypertension	CACNA1C		BIN1, CABP1, CACNB1, CACNB2, CACNB3, CALM1, CALM2, CALM3, CAND1, COPS5, CUL1, GNB1, HDAC4, PCBD1, PPM1A, PRKACA, RIMS1, RYR2, SRI	0	19	0	0	0	0
Bepridil	hypertension	KCNQ1		AKAP9, GRB2, KCNE1, KCNE2, KCNE4, KCNQ2, PPP1CA, PRKACA, PRKAR2A, PSMB5, PSMC1, PSMC2, PSMC3, PSMD1, PSMD12, PSMD13, PSMD3, PSMD6, PSMD7, TRAF6	0	20	0	1	0	0
Bepridil	hypertension	KCNH2		ALG10, ALG10B, BAG2, CALR, CANX, CDC73, CUL1, DNAJA1, FKBP8, HSP90AA1, HSPA4, HSPA8, KCNE1, KCNE2, NDUFS6, PASK, PRKACA, RAB11A, RHOH, UBC, YWHAE, YWHAH	0	22	0	0	0	0
Bepridil	hypertension	ATP1A1		A2M, ADD1, AGO1, APC, ATF2, CDK2, CFL1, CUL3, DDOST, DICER1, DNAJA2, EEF1A1, EGFR, EIF2B4, ESR1, EZH2, FXYD1, FXYD2, FXYD7, GTF2F2, HDAC5, HGS, HNRNPUL1, HSP90AB1, HSPD1, IPO9, IQCB1, JUN, MAPK1, MAPK3, MMS19, MYC, NDRG1, PDCD1, PRKCA, PRMT5, RPL23, RPL38, RPS27L, RPS3, RUVBL2, SART3, SIRT1, SIRT7, SLC25A13, SLC25A3, SLC25A4, SLC25A5, SLC25A6, SMAD2, SNAPIN, SNX6, SSR1, TARBP2, TMEM33, TNFRSF1A, TNFRSF1B, TPT1, TRADD, UBC, UBD, WDR77	0	62	0	1	0	0
Bepridil	hypertension	CACNA1A		ABI1, ACTN1, ADGRL1, AGRN, ALDOA, AMIGO2, AP2M1, ARHGAP22, ASNA1, BCL6, BTG3, BZRAP1, C1QTNF1, CABP1, CACNB1, CACNB4, CALM1, CALM2, CALM3, CRIM1, CRMP1, CSNK2B, CYSRT1, DNAJB5, EFEMP1, EFEMP2, EHMT2, EIF3A, GNB1, GNB2, GRN, HECW1, HHATL, HIVEP1, HSPG2, IP6K1, JAG2, KALRN, KDM5B, KHDRBS3, KLHL1, LAMB1, LLGL1, LRP1, LTBP3, LTBP4, MANBAL, MATK, MATN2, MEGF6, MEGF8, MIA3, MOAP1, NDUFB8, NELFCD, NELL1, NELL2, NOTCH1, NOXA1, OLIG1, PCSK5, PMM1, PPIG, PPM1A, PPP1R12C, PTGDS, PUF60, RBM12B, RIMBP2, RPL31, RPS17, SCP2, SPRY1, SRRM4, SRSF1, SUMF2, SYT1, TAF15, TELO2, TSC22D1, TSPAN7, TUBB2B, UBC, UQCRC2, VARS, VPS52, VWF, WBP1, YLPM1, ZCCHC17, ZNF233	0	91	0	0	0	0
Betamethasone	allergic rhinitis	NR3C1	SMAD3	ACP1, ADA, ALDH5A1, ANP32A, AR, ARPC5, ASXL1, ATP1B1, BAG1, CALM1, CALM2, CALM3, CALR, CD3D, CD4, CDKN1A, CEBPA, CEBPB, CENPB, CHD9, CLIP1, CLTC, CLU, COPS6, CREB1, CREBBP, CUL2, CWC15, CXCL8, DAP3, DAXX, DCAF6, DDC, DDX54, DUSP1, DYNC1I2, ECD, EIF4A2, EIF5B, EP300, EPB41L2, EPB41L3, ETS1, ETS2, FKBP4, FOS, FTH1, GNB1, GNB2, GNB2L1, GRIP1, HDAC1, HDAC2, HDAC6, HMGB1, HMGB2, HMOX2, HNRNPA1, HNRNPU, HOXB1, HSP90AA1, HSPA1A, HSPA1B, HSPD1, IDE, IFNGR2, IGFBP1, IRF1, IRF2, IRF8, JUN, KAT5, KDM5A, KIAA0408, KMT2A, KPNA2, KTN1, LCK, LRIF1, MAFF, MAPK1, MAPK15, MAPK8, MDM2, MED1, MED14, MED25, MMP1, MMP13, MSX2, NCL, NCOA1, NCOA2, NCOA3, NCOA4, NCOA6, NCOR1, NCOR2, NEDD4L, NFKB1, NFKB2, NR0B1, NR1H3, NR2E3, NR2F2, NR2F6, NR3C2, NR4A1, NRIP1, NTRK2, ONECUT1, OSGEP, PBX1, PELP1, PHF3, PIAS2, PML, POLR1D, POU1F1, POU2F1, POU2F2, PPARGC1A, PPID, PPP3CA, PPP5C, PRKACA, PRKDC, PRPF6, PRRC2C, PSMC3IP, PSMD7, PTGES3, PTMS, PTPRN2, RAD54L2, RAD9A, RAF1, RAN, RANBP9, RARA, RBM14, RELA, RNF14, RPS6KA5, RXRB, SET, SFN, SFPQ, SLC25A4, SMAD3, SMARCA2, SMARCA4, SMARCB1, SMARCC1, SMARCC2, SMARCD1, SMARCE1, SRA1, SRC, SRSF5, SSB, STAT3, STAT5A, STAT5B, STIP1, SUMO1, SUMO2, SUMO4, SVIL, SYT1, TADA2A, TBP, TCEAL2, TDG, TGFB1I1, THRAP3, TJP2, TMF1, TP53, TP53BP1, TRIM24, TRIM28, TSG101, TSPYL2, TTC3, TXN, UBB, UBC, UBE2I, UBE2L3, UBE3A, YWHAH, ZBTB16, ZBTB20, ZBTB3, ZBTB9, ZHX1, ZNF483, ZNF496	1	199	0.00503	0	0	0
Betamethasone	allergic rhinitis	CYP19A1		CEBPD, FANCG	0	2	0	0	0	0
Betamethasone	allergic rhinitis	PLA2G1B		BGN, CSF3R, PLA2G2A, PLAA, SOCS2	0	5	0	0	0	0
Betamethasone	allergic rhinitis	CYP3A4		AMFR, CYB5A, GK, PGRMC1, POR, STUB1, UGT2B7	0	7	0	0	0	0
Betamethasone	allergic rhinitis	PTGS2		ABHD16A, CAV1, NELFCD, NUCB1, PTGIS, TP53, UBC	0	7	0	0	0	0
Betamethasone	allergic rhinitis	ABCB1		BCCIP, CAV1, CD4, DHX9, HAX1, LAPTM4B, LNX1, MAPKAP1, PHB2, PIM1, PSMB8, RNF2, UBC	0	13	0	0	0	0
Betamethasone	allergic rhinitis	NR3C2		ACTA1, ACTG1, AR, FKBP4, HSP90AA1, HSPA4, NCOA1, NCOA2, NR3C1, PIAS1, PIAS3, PROX1, PSMC5, PTGES3, RANBP2, SRC, TRIM24	0	17	0	0	0	0
Betamethasone	allergic rhinitis	PGR		ANP32A, APEX2, ARID1A, BATF3, BCAS2, CCNA1, CCNA2, CDC25B, CDK2, COPS5, CSNK2A1, CUEDC2, DAP3, DDX54, ESR1, FGFR2, FKBP5, GNAI1, HMGB1, HMGB2, HSP90AA1, JDP2, KAT2B, KLF9, MAGEA11, MAPK1, NCOA1, NCOA3, NCOR1, NCOR2, NR0B1, PIAS1, PIAS2, PIAS3, POU2F1, POU2F2, PRDM2, PRKDC, PRMT2, RBM23, RBM39, RELA, RNF4, SMARCA1, SMARCD1, SMARCE1, SNW1, SORBS1, SP1, SRC, STAT3, STAT5A, STAT5B, TAF1B, TDG, TRIM24, UBC, UBE3A, UBR5, XRCC5, XRCC6, ZBTB17	0	62	0	0	0	0
Betamethasone	asthma	PGR	CDK2	ANP32A, APEX2, ARID1A, BATF3, BCAS2, CCNA1, CCNA2, CDC25B, CDK2, COPS5, CSNK2A1, CUEDC2, DAP3, DDX54, ESR1, FGFR2, FKBP5, GNAI1, HMGB1, HMGB2, HSP90AA1, JDP2, KAT2B, KLF9, MAGEA11, MAPK1, NCOA1, NCOA3, NCOR1, NCOR2, NR0B1, PIAS1, PIAS2, PIAS3, POU2F1, POU2F2, PRDM2, PRKDC, PRMT2, RBM23, RBM39, RELA, RNF4, SMARCA1, SMARCD1, SMARCE1, SNW1, SORBS1, SP1, SRC, STAT3, STAT5A, STAT5B, TAF1B, TDG, TRIM24, UBC, UBE3A, UBR5, XRCC5, XRCC6, ZBTB17	1	62	0.0161	0	0	0
Betamethasone	asthma	NR3C1	SMAD3	ACP1, ADA, ALDH5A1, ANP32A, AR, ARPC5, ASXL1, ATP1B1, BAG1, CALM1, CALM2, CALM3, CALR, CD3D, CD4, CDKN1A, CEBPA, CEBPB, CENPB, CHD9, CLIP1, CLTC, CLU, COPS6, CREB1, CREBBP, CUL2, CWC15, CXCL8, DAP3, DAXX, DCAF6, DDC, DDX54, DUSP1, DYNC1I2, ECD, EIF4A2, EIF5B, EP300, EPB41L2, EPB41L3, ETS1, ETS2, FKBP4, FOS, FTH1, GNB1, GNB2, GNB2L1, GRIP1, HDAC1, HDAC2, HDAC6, HMGB1, HMGB2, HMOX2, HNRNPA1, HNRNPU, HOXB1, HSP90AA1, HSPA1A, HSPA1B, HSPD1, IDE, IFNGR2, IGFBP1, IRF1, IRF2, IRF8, JUN, KAT5, KDM5A, KIAA0408, KMT2A, KPNA2, KTN1, LCK, LRIF1, MAFF, MAPK1, MAPK15, MAPK8, MDM2, MED1, MED14, MED25, MMP1, MMP13, MSX2, NCL, NCOA1, NCOA2, NCOA3, NCOA4, NCOA6, NCOR1, NCOR2, NEDD4L, NFKB1, NFKB2, NR0B1, NR1H3, NR2E3, NR2F2, NR2F6, NR3C2, NR4A1, NRIP1, NTRK2, ONECUT1, OSGEP, PBX1, PELP1, PHF3, PIAS2, PML, POLR1D, POU1F1, POU2F1, POU2F2, PPARGC1A, PPID, PPP3CA, PPP5C, PRKACA, PRKDC, PRPF6, PRRC2C, PSMC3IP, PSMD7, PTGES3, PTMS, PTPRN2, RAD54L2, RAD9A, RAF1, RAN, RANBP9, RARA, RBM14, RELA, RNF14, RPS6KA5, RXRB, SET, SFN, SFPQ, SLC25A4, SMAD3, SMARCA2, SMARCA4, SMARCB1, SMARCC1, SMARCC2, SMARCD1, SMARCE1, SRA1, SRC, SRSF5, SSB, STAT3, STAT5A, STAT5B, STIP1, SUMO1, SUMO2, SUMO4, SVIL, SYT1, TADA2A, TBP, TCEAL2, TDG, TGFB1I1, THRAP3, TJP2, TMF1, TP53, TP53BP1, TRIM24, TRIM28, TSG101, TSPYL2, TTC3, TXN, UBB, UBC, UBE2I, UBE2L3, UBE3A, YWHAH, ZBTB16, ZBTB20, ZBTB3, ZBTB9, ZHX1, ZNF483, ZNF496	1	199	0.00503	1	0	0
Betamethasone	asthma	CYP19A1		CEBPD, FANCG	0	2	0	0	0	0
Betamethasone	asthma	PLA2G1B		BGN, CSF3R, PLA2G2A, PLAA, SOCS2	0	5	0	0	0	0
Betamethasone	asthma	CYP3A4		AMFR, CYB5A, GK, PGRMC1, POR, STUB1, UGT2B7	0	7	0	0	0	0
Betamethasone	asthma	PTGS2		ABHD16A, CAV1, NELFCD, NUCB1, PTGIS, TP53, UBC	0	7	0	1	0	0
Betamethasone	asthma	ABCB1		BCCIP, CAV1, CD4, DHX9, HAX1, LAPTM4B, LNX1, MAPKAP1, PHB2, PIM1, PSMB8, RNF2, UBC	0	13	0	0	0	0
Betamethasone	asthma	NR3C2		ACTA1, ACTG1, AR, FKBP4, HSP90AA1, HSPA4, NCOA1, NCOA2, NR3C1, PIAS1, PIAS3, PROX1, PSMC5, PTGES3, RANBP2, SRC, TRIM24	0	17	0	0	0	0
Betamethasone	breast cancer	PGR	ESR1, FGFR2	ANP32A, APEX2, ARID1A, BATF3, BCAS2, CCNA1, CCNA2, CDC25B, CDK2, COPS5, CSNK2A1, CUEDC2, DAP3, DDX54, ESR1, FGFR2, FKBP5, GNAI1, HMGB1, HMGB2, HSP90AA1, JDP2, KAT2B, KLF9, MAGEA11, MAPK1, NCOA1, NCOA3, NCOR1, NCOR2, NR0B1, PIAS1, PIAS2, PIAS3, POU2F1, POU2F2, PRDM2, PRKDC, PRMT2, RBM23, RBM39, RELA, RNF4, SMARCA1, SMARCD1, SMARCE1, SNW1, SORBS1, SP1, SRC, STAT3, STAT5A, STAT5B, TAF1B, TDG, TRIM24, UBC, UBE3A, UBR5, XRCC5, XRCC6, ZBTB17	2	62	0.0323	1	0	0
Betamethasone	breast cancer	NR3C1	NRIP1, RANBP9	ACP1, ADA, ALDH5A1, ANP32A, AR, ARPC5, ASXL1, ATP1B1, BAG1, CALM1, CALM2, CALM3, CALR, CD3D, CD4, CDKN1A, CEBPA, CEBPB, CENPB, CHD9, CLIP1, CLTC, CLU, COPS6, CREB1, CREBBP, CUL2, CWC15, CXCL8, DAP3, DAXX, DCAF6, DDC, DDX54, DUSP1, DYNC1I2, ECD, EIF4A2, EIF5B, EP300, EPB41L2, EPB41L3, ETS1, ETS2, FKBP4, FOS, FTH1, GNB1, GNB2, GNB2L1, GRIP1, HDAC1, HDAC2, HDAC6, HMGB1, HMGB2, HMOX2, HNRNPA1, HNRNPU, HOXB1, HSP90AA1, HSPA1A, HSPA1B, HSPD1, IDE, IFNGR2, IGFBP1, IRF1, IRF2, IRF8, JUN, KAT5, KDM5A, KIAA0408, KMT2A, KPNA2, KTN1, LCK, LRIF1, MAFF, MAPK1, MAPK15, MAPK8, MDM2, MED1, MED14, MED25, MMP1, MMP13, MSX2, NCL, NCOA1, NCOA2, NCOA3, NCOA4, NCOA6, NCOR1, NCOR2, NEDD4L, NFKB1, NFKB2, NR0B1, NR1H3, NR2E3, NR2F2, NR2F6, NR3C2, NR4A1, NRIP1, NTRK2, ONECUT1, OSGEP, PBX1, PELP1, PHF3, PIAS2, PML, POLR1D, POU1F1, POU2F1, POU2F2, PPARGC1A, PPID, PPP3CA, PPP5C, PRKACA, PRKDC, PRPF6, PRRC2C, PSMC3IP, PSMD7, PTGES3, PTMS, PTPRN2, RAD54L2, RAD9A, RAF1, RAN, RANBP9, RARA, RBM14, RELA, RNF14, RPS6KA5, RXRB, SET, SFN, SFPQ, SLC25A4, SMAD3, SMARCA2, SMARCA4, SMARCB1, SMARCC1, SMARCC2, SMARCD1, SMARCE1, SRA1, SRC, SRSF5, SSB, STAT3, STAT5A, STAT5B, STIP1, SUMO1, SUMO2, SUMO4, SVIL, SYT1, TADA2A, TBP, TCEAL2, TDG, TGFB1I1, THRAP3, TJP2, TMF1, TP53, TP53BP1, TRIM24, TRIM28, TSG101, TSPYL2, TTC3, TXN, UBB, UBC, UBE2I, UBE2L3, UBE3A, YWHAH, ZBTB16, ZBTB20, ZBTB3, ZBTB9, ZHX1, ZNF483, ZNF496	2	199	0.0101	0	0	1
Betamethasone	breast cancer	CYP19A1		CEBPD, FANCG	0	2	0	1	0	0
Betamethasone	breast cancer	PLA2G1B		BGN, CSF3R, PLA2G2A, PLAA, SOCS2	0	5	0	0	0	0
Betamethasone	breast cancer	CYP3A4		AMFR, CYB5A, GK, PGRMC1, POR, STUB1, UGT2B7	0	7	0	1	0	0
Betamethasone	breast cancer	PTGS2		ABHD16A, CAV1, NELFCD, NUCB1, PTGIS, TP53, UBC	0	7	0	1	0	0
