metapath	length	n_pairs	pc_density	pc_mean	pc_max	dwpc-0.5_raw_mean
AdGcGpPW	3	732444	0.0825906	3.90545	4986	5.99913e-05
AdGiGdA	3	161604	0.00779684	71.6228	41586	7.62223e-05
AdGiGeA	3	161604	0.0517128	470.735	102655	0.000152109
AdGiGuA	3	161604	0.00779684	73.8859	37300	8.17461e-05
AdGiGpBP	3	4575162	0.0867032	32.8404	22734	4.18437e-05
AdGiGpCC	3	559182	0.086893	28.3612	14497	0.000112828
AdGiGbC	3	623904	0.0738912	2.63782	2454	3.93696e-05
AdGiGdC	3	623904	0.0407675	7.41194	7613	3.0381e-05
AdGiGuC	3	623904	0.0374481	5.85451	3751	3.16194e-05
AdGiGaD	3	55074	0.0859026	58.7129	10534	0.000321713
AdGiGdD	3	55074	0.028144	18.2957	3589	0.00016522
AdGiGuD	3	55074	0.0283982	20.0589	4533	0.000167424
AdGiGcG	3	8419890	0.0406904	1.46294	4231	1.7579e-05
AdGiGiG	3	8419890	0.0640053	78.9372	82161	4.48167e-05
AdGiG<rG	3	8419890	0.0196592	6.39791	6530	1.01285e-05
AdGiGr>G	3	8419890	0.0295827	9.05009	25790	1.20327e-05
AdGiGpMF	3	1159368	0.0816307	14.7768	14769	7.33539e-05
AdGiGpPW	3	732444	0.0878879	55.4289	28454	0.000123037
AdG<rGdA	3	161604	0.00779684	71.3221	47615	3.36167e-05
AdG<rGeA	3	161604	0.0474493	459.198	113846	6.86629e-05
AdG<rGuA	3	161604	0.00779684	75.8627	41014	3.77838e-05
AdG<rGpBP	3	4575162	0.0804542	26.8093	19138	2.00374e-05
AdG<rGpCC	3	559182	0.0769732	19.7472	11192	4.49009e-05
AdG<rGbC	3	623904	0.0647439	2.73686	3401	2.18985e-05
AdG<rGdC	3	623904	0.0411682	14.3414	7054	3.623e-05
AdG<rGuC	3	623904	0.0392512	12.6599	7541	3.38344e-05
AdG<rGaD	3	55074	0.0826887	58.7095	11404	0.000158143
AdG<rGdD	3	55074	0.0268003	18.8999	3605	7.9545e-05
AdG<rGuD	3	55074	0.0274358	22.0217	4369	8.49598e-05
AdG<rGcG	3	8419890	0.030067	1.40824	3457	7.51342e-06
AdG<rGiG	3	8419890	0.0599505	9.84763	85913	1.29303e-05
AdG<rG<rG	3	8419890	0.0197073	13.4969	9411	1.00524e-05
AdG<rGr>G	3	8419890	0.0301313	24.487	67751	1.97443e-05
AdG<rGpMF	3	1159368	0.0723342	14.3094	17375	3.7135e-05
AdG<rGpPW	3	732444	0.0851792	31.8869	22737	5.96001e-05
AdGr>GeA	3	161604	0.0485322	462.847	108615	6.70111e-05
AdGr>GuA	3	161604	0.00779684	72.7523	35685	3.71742e-05
AdGr>GpBP	3	4575162	0.0784235	20.2875	14651	1.62283e-05
AdGr>GpCC	3	559182	0.0786721	19.4107	10519	4.27825e-05
AdGr>GbC	3	623904	0.0506632	1.78545	1392	1.40624e-05
AdGr>GdC	3	623904	0.0423495	49.3025	21240	6.47508e-05
AdGr>GuC	3	623904	0.0405607	28.5388	13356	5.49961e-05
AdGr>GaD	3	55074	0.0830156	49.2402	10867	0.000121002
AdGr>GdD	3	55074	0.0271453	19.887	3771	7.90873e-05
AdGr>GuD	3	55074	0.0279987	26.9513	7665	9.31647e-05
AdGr>GcG	3	8419890	0.0303123	1.29998	4163	7.16375e-06
AdGr>GiG	3	8419890	0.0558579	6.551	88520	1.03701e-05
AdGr>G<rG	3	8419890	0.0198124	57.8072	29185	1.77698e-05
AdGr>Gr>G	3	8419890	0.0294918	12.6668	45703	9.6041e-06
AdGr>GpMF	3	1159368	0.0731994	11.2661	11042	3.0976e-05
AdGr>GpPW	3	732444	0.0840406	23.3569	18520	4.54875e-05
AdGpMFpG	3	8419890	0.055603	22.401	6463	4.94448e-05
AdGpPWpG	3	8419890	0.0382347	14.3189	9614	3.1434e-05
AeGdAlD	3	55074	0.469332	793.785	39138	0.000574502
AeGdAdG	3	8419890	0.416015	1440.56	79813	0.000111815
AeGdAeG	3	8419890	0.496584	3864.76	90109	8.9667e-05
AeGdAuG	3	8419890	0.438384	1264.06	56024	0.000114901
AeGeAlD	3	55074	0.571903	4726.88	174798	0.00115838
AeGeAdG	3	8419890	0.42692	4558.86	270879	9.09665e-05
AeGeAeG	3	8419890	0.515105	21370.3	481970	0.000135869
AeGeAuG	3	8419890	0.450547	4447.06	205526	9.72362e-05
AeGuAlD	3	55074	0.455242	768.854	34477	0.000612138
AeGuAdG	3	8419890	0.408064	1312.86	79074	0.000113322
AeGuAeG	3	8419890	0.492188	3969.36	86902	9.522e-05
AeGuAuG	3	8419890	0.431044	1264.61	57471	0.000120058
AeGpBPpG	3	8419890	0.348841	751.629	156193	9.77079e-05
AeGpCCpG	3	8419890	0.206934	104.658	17554	7.96112e-05
AeGbCrC	3	623904	0.191081	3.86506	505	0.000103238
AeGbCpD	3	55074	0.0940371	2.3216	453	0.000102471
AeGbCtD	3	55074	0.146167	4.96625	541	0.000195999
AeGbCbG	3	8419890	0.0189239	0.644703	4427	1.12603e-05
AeGbCdG	3	8419890	0.0336802	0.96045	1515	6.47958e-06
AeGbCuG	3	8419890	0.0370277	0.890339	1217	6.83604e-06
AeGbCiPC	3	138690	0.170171	1.69162	413	0.000192053
AeGbCcSE	3	2305068	0.258501	16.1287	6000	3.71054e-05
AeGdCrC	3	623904	0.166175	9.38909	1071	7.17484e-05
AeGdCpD	3	55074	0.0812906	4.30134	552	7.6291e-05
AeGdCtD	3	55074	0.155373	30.1848	4333	0.000228856
AeGdCbG	3	8419890	0.0132996	1.37955	11474	6.07116e-06
AeGdCdG	3	8419890	0.0446393	16.6792	12948	1.94173e-05
AeGdCuG	3	8419890	0.0493896	15.4794	10403	2.08865e-05
AeGdCiPC	3	138690	0.13629	6.45992	2061	0.000142097
AeGdCcSE	3	2305068	0.230503	59.5357	16055	3.48475e-05
AeGuCrC	3	623904	0.168393	8.96168	967	7.28878e-05
AeGuCpD	3	55074	0.0768602	4.16454	602	7.03585e-05
AeGuCtD	3	55074	0.166485	29.8891	4194	0.000253997
AeGuCbG	3	8419890	0.0140337	1.32652	10372	6.67584e-06
AeGuCdG	3	8419890	0.0511083	16.2011	11878	2.16603e-05
AeGuCuG	3	8419890	0.0568967	15.4653	9553	2.36813e-05
AeGuCiPC	3	138690	0.138993	6.3022	1985	0.000153982
AeGuCcSE	3	2305068	0.241801	54.2492	14065	3.67761e-05
AeGaDpC	3	623904	0.0537951	3.39824	1652	8.1591e-05
AeGaDtC	3	623904	0.104	11.075	2968	0.000140825
AeGaDrD	3	55074	0.408142	62.4461	2019	0.000910068
AeGaDaG	3	8419890	0.107414	14.4856	6674	4.68199e-05
AeGaDdG	3	8419890	0.0951869	5.32669	1281	3.05382e-05
AeGaDuG	3	8419890	0.0937078	5.45238	1747	3.01851e-05
AeGaDpS	3	176076	0.434085	81.4762	4410	0.000537659
AeGdDpC	3	623904	0.0279947	2.31109	1235	5.84482e-05
AeGdDtC	3	623904	0.0505286	4.0051	1928	7.98067e-05
AeGdDrD	3	55074	0.249918	33.0437	1681	0.000502282
AeGdDaG	3	8419890	0.0579071	5.07585	3558	2.54532e-05
AeGdDdG	3	8419890	0.0850911	7.53837	1360	4.63205e-05
AeGdDuG	3	8419890	0.0836638	7.62447	1861	4.57888e-05
AeGdDpS	3	176076	0.255691	38.9381	2999	0.000274603
AeGuDpC	3	623904	0.0275988	2.13964	1252	5.64952e-05
AeGuDtC	3	623904	0.0539602	4.08333	1846	8.09331e-05
AeGuDrD	3	55074	0.260431	34.2434	1558	0.000501207
AeGuDaG	3	8419890	0.0572448	5.17196	3486	2.5225e-05
AeGuDdG	3	8419890	0.086585	7.49974	1337	4.57042e-05
AeGuDuG	3	8419890	0.0852725	7.59674	1806	4.5045e-05
AeGuDpS	3	176076	0.262069	38.0756	3045	0.000269672
AeGcGeA	3	161604	0.206381	593.484	80984	0.000209823
AeGcGuA	3	161604	0.0479196	109.412	30112	0.000123255
AeGcGpBP	3	4575162	0.237015	21.4305	7046	4.58971e-05
AeGcGpCC	3	559182	0.243016	24.3636	5818	0.000121937
AeGcGbC	3	623904	0.16278	2.37419	516	3.71941e-05
AeGcGdC	3	623904	0.0977266	5.68623	1763	3.305e-05
AeGcGuC	3	623904	0.0896452	5.51502	1808	3.28532e-05
AeGcGaD	3	55074	0.281385	32.7755	2783	0.000312623
AeGcGdD	3	55074	0.112303	23.602	1756	0.000223699
AeGcGuD	3	55074	0.110451	20.8963	1679	0.000219518
AeGcGcG	3	8419890	0.146553	26.0025	20031	6.07305e-05
AeGcGiG	3	8419890	0.142431	6.91127	47886	2.78441e-05
AeGcG<rG	3	8419890	0.0644031	5.77119	2530	1.08415e-05
AeGcGr>G	3	8419890	0.0777389	5.83572	8642	1.08023e-05
AeGcGpMF	3	1159368	0.206185	14.9881	6705	8.97713e-05
AeGcGpPW	3	732444	0.262333	21.0391	11984	0.000108563
AeGiGeA	3	161604	0.257357	3168.27	247310	0.000304302
AeGiGuA	3	161604	0.0513477	493.221	96081	0.00016321
AeGiGpBP	3	4575162	0.353526	210.012	55015	8.31889e-05
AeGiGpCC	3	559182	0.340866	184.088	38355	0.000223587
AeGiGbC	3	623904	0.245059	15.5282	5649	7.89417e-05
AeGiGdC	3	623904	0.15065	52.2404	17895	6.06184e-05
AeGiGuC	3	623904	0.141562	38.1255	9016	6.19851e-05
AeGiGaD	3	55074	0.427479	376.349	24672	0.000649493
AeGiGdD	3	55074	0.145477	123.041	8467	0.000324982
AeGiGuD	3	55074	0.145967	132.947	10360	0.000333687
AeGiGcG	3	8419890	0.136424	9.77864	10503	3.46643e-05
AeGiGiG	3	8419890	0.34969	509.627	196435	8.69931e-05
AeGiG<rG	3	8419890	0.0914751	43.3415	15258	2.01099e-05
AeGiGr>G	3	8419890	0.12177	59.6721	61431	2.38905e-05
AeGiGpMF	3	1159368	0.296848	95.9932	34708	0.000147314
AeGiGpPW	3	732444	0.398581	355.645	68002	0.000244038
AeG<rGeA	3	161604	0.230168	2937.3	231645	0.000134583
AeG<rGuA	3	161604	0.0486993	489.72	83865	7.50173e-05
AeG<rGpBP	3	4575162	0.326538	170.516	39578	3.91423e-05
AeG<rGpCC	3	559182	0.300711	125.946	23253	8.79164e-05
AeG<rGbC	3	623904	0.218287	17.5778	7130	4.2931e-05
AeG<rGdC	3	623904	0.172111	92.3959	14170	7.07386e-05
AeG<rGuC	3	623904	0.157388	80.5001	15383	6.55455e-05
AeG<rGaD	3	55074	0.388659	372.192	23549	0.000308556
AeG<rGdD	3	55074	0.134637	120.441	7297	0.000155504
AeG<rGuD	3	55074	0.139195	139.684	9059	0.000165595
AeG<rGcG	3	8419890	0.100681	8.98153	6994	1.46943e-05
AeG<rGiG	3	8419890	0.238836	62.299	175832	2.52667e-05
AeG<rG<rG	3	8419890	0.0989606	86.5145	19167	1.95764e-05
AeG<rGr>G	3	8419890	0.1432	156.407	143041	3.84005e-05
AeG<rGpMF	3	1159368	0.270687	90.9493	35816	7.24812e-05
AeG<rGpPW	3	732444	0.379891	203.488	46761	0.000116891
AeGr>GuA	3	161604	0.0475421	466.501	77310	7.57412e-05
AeGr>GpBP	3	4575162	0.317069	128.599	31277	3.24707e-05
AeGr>GpCC	3	559182	0.31344	122.817	22515	8.59742e-05
AeGr>GbC	3	623904	0.172583	11.2408	3069	2.77673e-05
AeGr>GdC	3	623904	0.216368	308.893	45588	0.000126556
AeGr>GuC	3	623904	0.199034	179.968	28592	0.000108404
AeGr>GaD	3	55074	0.390584	310.37	23627	0.000241105
AeGr>GdD	3	55074	0.137197	125.419	8049	0.000157867
AeGr>GuD	3	55074	0.143752	170.702	16530	0.000186264
AeGr>GcG	3	8419890	0.10455	8.19659	8946	1.43409e-05
AeGr>GiG	3	8419890	0.219435	41.7523	189176	2.08187e-05
AeGr>G<rG	3	8419890	0.112917	360.175	63151	3.48409e-05
AeGr>Gr>G	3	8419890	0.133963	79.6694	98231	1.89922e-05
AeGr>GpMF	3	1159368	0.275387	71.3447	23717	6.20595e-05
AeGr>GpPW	3	732444	0.369022	147.971	39591	9.05188e-05
AeGpMFpG	3	8419890	0.246721	114.184	15216	9.31877e-05
AeGpPWpG	3	8419890	0.178475	86.2015	24156	6.43667e-05
AuGdAlD	3	55074	0.0754439	166.769	16644	0.000384237
AuGdAdG	3	8419890	0.0643616	298.606	27344	7.48124e-05
AuGdAeG	3	8419890	0.0759647	803.923	31288	5.99386e-05
AuGdAuG	3	8419890	0.0679761	261.676	23355	7.68512e-05
AuGeAlD	3	55074	0.0869376	795.067	61621	0.000594243
AuGeAdG	3	8419890	0.0643616	768.147	95425	5.59415e-05
AuGeAeG	3	8419890	0.0773153	3641.51	163064	7.96723e-05
AuGeAuG	3	8419890	0.0679761	754.471	72256	5.99874e-05
AuGuAlD	3	55074	0.0754439	151.482	13171	0.000361909
AuGuAdG	3	8419890	0.0643616	254.269	30476	6.62618e-05
AuGuAeG	3	8419890	0.0759647	791.745	34505	5.63188e-05
AuGuAuG	3	8419890	0.0679761	248.936	26229	7.05793e-05
AuGpBPpG	3	8419890	0.0630982	131.978	59034	5.3497e-05
AuGpCCpG	3	8419890	0.0448671	18.2133	6770	4.41801e-05
AuGbCrC	3	623904	0.0602977	0.710563	268	4.42732e-05
AuGbCpD	3	55074	0.0276537	0.406054	222	3.71328e-05
AuGbCtD	3	55074	0.0452664	0.939264	253	8.96214e-05
AuGbCbG	3	8419890	0.00614699	0.122215	2663	5.49549e-06
AuGbCdG	3	8419890	0.0103435	0.18561	828	3.13335e-06
AuGbCuG	3	8419890	0.0117101	0.171647	669	3.37465e-06
AuGbCiPC	3	138690	0.0516259	0.324688	186	8.03017e-05
AuGbCcSE	3	2305068	0.0731549	3.00585	3165	1.59472e-05
AuGdCrC	3	623904	0.0559493	1.45599	438	3.92908e-05
AuGdCpD	3	55074	0.0256201	0.707484	235	4.26154e-05
AuGdCtD	3	55074	0.0467734	4.74883	1719	0.000127719
AuGdCbG	3	8419890	0.00426846	0.206086	4181	3.35344e-06
AuGdCdG	3	8419890	0.0122932	2.4674	4972	1.07827e-05
AuGdCuG	3	8419890	0.013868	2.2966	3993	1.16069e-05
AuGdCiPC	3	138690	0.0457063	0.974187	919	7.89187e-05
AuGdCcSE	3	2305068	0.0690539	8.95444	5777	1.9227e-05
AuGuCrC	3	623904	0.0549091	1.55089	421	4.20051e-05
AuGuCpD	3	55074	0.0245125	0.709936	225	4.10511e-05
AuGuCtD	3	55074	0.0454661	5.09398	1678	0.00014713
AuGuCbG	3	8419890	0.00409138	0.225487	4093	3.86595e-06
AuGuCdG	3	8419890	0.0122694	2.76735	4837	1.27113e-05
AuGuCuG	3	8419890	0.0138611	2.6391	4100	1.38938e-05
AuGuCiPC	3	138690	0.0433773	1.07903	795	8.89458e-05
AuGuCcSE	3	2305068	0.0671069	9.26606	5626	2.1279e-05
AuGaDpC	3	623904	0.0126702	0.589312	742	3.79222e-05
AuGaDtC	3	623904	0.0222326	1.9059	1159	6.58185e-05
AuGaDrD	3	55074	0.0840869	10.8648	798	0.000427699
AuGaDaG	3	8419890	0.0229195	2.49306	2790	2.28227e-05
AuGaDdG	3	8419890	0.0237433	0.92189	619	1.51536e-05
AuGaDuG	3	8419890	0.0232347	0.943947	838	1.49822e-05
AuGaDpS	3	176076	0.0844011	14.0882	1733	0.000251886
AuGdDpC	3	623904	0.00840995	0.376192	416	3.39832e-05
AuGdDtC	3	623904	0.0153341	0.77979	721	4.84703e-05
AuGdDrD	3	55074	0.0666921	6.07539	652	0.00030225
AuGdDaG	3	8419890	0.0164015	0.949544	1198	1.51717e-05
AuGdDdG	3	8419890	0.0245047	1.37183	528	2.79468e-05
AuGdDuG	3	8419890	0.0239869	1.38836	766	2.76107e-05
AuGdDpS	3	176076	0.0681524	6.83962	1157	0.000162438
AuGuDpC	3	623904	0.00797398	0.405796	554	3.4595e-05
AuGuDtC	3	623904	0.0164112	0.752497	828	4.90299e-05
AuGuDrD	3	55074	0.0677452	6.38227	775	0.000305301
AuGuDaG	3	8419890	0.0166534	0.961172	1539	1.53162e-05
AuGuDdG	3	8419890	0.024502	1.43152	670	2.80278e-05
AuGuDuG	3	8419890	0.024013	1.44597	866	2.75529e-05
AuGuDpS	3	176076	0.0686238	7.27723	1343	0.000165193
AuGcGuA	3	161604	0.00779684	20.1098	10758	7.24196e-05
AuGcGpBP	3	4575162	0.0744367	3.94906	2567	2.70458e-05
AuGcGpCC	3	559182	0.0757517	4.48265	2149	7.15106e-05
AuGcGbC	3	623904	0.056895	0.477945	199	2.18756e-05
AuGcGdC	3	623904	0.0318639	1.04225	636	1.97655e-05
AuGcGuC	3	623904	0.0293026	1.01709	680	1.95658e-05
AuGcGaD	3	55074	0.0812543	6.11623	1016	0.00018388
AuGcGdD	3	55074	0.0264553	4.37219	641	0.000133377
AuGcGuD	3	55074	0.026419	3.89309	610	0.000129154
AuGcGcG	3	8419890	0.0462491	4.8414	7589	3.63603e-05
AuGcGiG	3	8419890	0.0466068	1.24389	17225	1.63401e-05
AuGcG<rG	3	8419890	0.0188626	1.04259	880	6.38139e-06
AuGcGr>G	3	8419890	0.0255178	1.06415	3163	6.39423e-06
AuGcGpMF	3	1159368	0.0667622	2.7881	2394	5.30056e-05
AuGcGpPW	3	732444	0.0825142	3.77891	4256	6.37307e-05
AuGiGuA	3	161604	0.00779684	76.5231	30922	8.70637e-05
AuGiGpBP	3	4575162	0.0870371	33.7435	20205	4.48834e-05
AuGiGpCC	3	559182	0.0868608	29.085	15393	0.000121347
AuGiGbC	3	623904	0.0738062	2.49962	2253	4.0456e-05
AuGiGdC	3	623904	0.0407707	7.93776	6357	3.30192e-05
AuGiGuC	3	623904	0.0377654	6.07906	3639	3.41667e-05
AuGiGaD	3	55074	0.0860297	60.8694	10291	0.000345064
AuGiGdD	3	55074	0.0282892	19.1463	3062	0.000177368
AuGiGuD	3	55074	0.0282347	21.0055	3659	0.000181612
AuGiGcG	3	8419890	0.0409493	1.52828	4036	1.88064e-05
AuGiGiG	3	8419890	0.0640265	82.7993	72918	4.86775e-05
AuGiG<rG	3	8419890	0.0196725	6.73191	5475	1.09358e-05
AuGiGr>G	3	8419890	0.0296775	9.4734	23646	1.30693e-05
AuGiGpMF	3	1159368	0.0819998	15.2605	13288	7.84127e-05
AuGiGpPW	3	732444	0.0879726	57.2735	25603	0.000132458
AuG<rGuA	3	161604	0.00779684	76.9263	27844	4.15987e-05
AuG<rGpBP	3	4575162	0.0806909	27.2136	13094	2.20982e-05
AuG<rGpCC	3	559182	0.0773487	20.0127	7749	4.94762e-05
AuG<rGbC	3	623904	0.0650148	2.77484	2376	2.41086e-05
AuG<rGdC	3	623904	0.0413974	14.619	4743	3.99267e-05
AuG<rGuC	3	623904	0.039458	12.8732	5168	3.72234e-05
AuG<rGaD	3	55074	0.0826343	59.6225	7982	0.000174206
AuG<rGdD	3	55074	0.0268003	19.1554	2479	8.76994e-05
AuG<rGuD	3	55074	0.027454	22.2626	3022	9.34358e-05
AuG<rGcG	3	8419890	0.0303142	1.43088	2352	8.28638e-06
AuG<rGiG	3	8419890	0.0600306	9.91333	58350	1.42518e-05
AuG<rG<rG	3	8419890	0.0197159	13.7632	6404	1.10765e-05
AuG<rGr>G	3	8419890	0.0301336	24.891	48946	2.17761e-05
AuG<rGpMF	3	1159368	0.0726172	14.5299	11886	4.0894e-05
AuG<rGpPW	3	732444	0.0853048	32.3893	15672	6.57267e-05
AuGr>GpBP	3	4575162	0.0795277	21.552	11257	1.81459e-05
AuGr>GpCC	3	559182	0.0801206	20.5366	8079	4.78679e-05
AuGr>GbC	3	623904	0.0512226	1.87464	1136	1.56192e-05
AuGr>GdC	3	623904	0.0423511	51.8096	16283	7.16893e-05
AuGr>GuC	3	623904	0.0405639	30.245	10219	6.11587e-05
AuGr>GaD	3	55074	0.0832879	52.3299	8541	0.000135238
AuGr>GdD	3	55074	0.0269092	20.9959	2948	8.84277e-05
AuGr>GuD	3	55074	0.0279987	28.5969	5904	0.00010442
AuGr>GcG	3	8419890	0.0312162	1.37461	3248	8.01731e-06
AuGr>GiG	3	8419890	0.0548333	6.97249	68394	1.16056e-05
AuGr>G<rG	3	8419890	0.0198128	60.565	22716	1.97046e-05
AuGr>Gr>G	3	8419890	0.029575	13.3872	35174	1.06932e-05
AuGr>GpMF	3	1159368	0.0745199	11.9241	8534	3.46865e-05
AuGr>GpPW	3	732444	0.0844952	24.8243	14337	5.08243e-05
AuGpMFpG	3	8419890	0.0556374	21.1705	5319	5.25835e-05
AuGpPWpG	3	8419890	0.0382169	14.0457	8415	3.3861e-05
BPpGdAlD	3	1559197	0.741073	28.6719	3405	0.000126374
BPpGdAdG	3	238375045	0.682033	50.6131	5812	2.44848e-05
BPpGdAeG	3	238375045	0.822672	139.5	6803	1.97627e-05
BPpGdAuG	3	238375045	0.718855	45.0279	4514	2.52117e-05
BPpGeAlD	3	1559197	0.946553	158.294	14311	0.00024155
BPpGeAdG	3	238375045	0.7152	138.068	19596	1.92468e-05
BPpGeAeG	3	238375045	0.861876	679.095	38846	2.94076e-05
BPpGeAuG	3	238375045	0.755003	135.072	14914	2.05517e-05
BPpGuAlD	3	1559197	0.731729	26.589	2978	0.000134601
BPpGuAdG	3	238375045	0.675431	44.5957	6145	2.48779e-05
BPpGuAeG	3	238375045	0.817026	135.739	6915	2.08674e-05
BPpGuAuG	3	238375045	0.710444	42.83	4956	2.62684e-05
BPpGpBPpG	3	238375045	0.529993	75.3091	50234	3.106e-05
BPpGpCCpG	3	238375045	0.261799	6.28723	4175	2.2023e-05
BPpGbCrC	3	17663312	0.0684055	0.393087	381	3.32141e-05
BPpGbCpD	3	1559197	0.0414758	0.267053	309	3.28315e-05
BPpGbCtD	3	1559197	0.0756338	0.34477	210	5.92891e-05
BPpGbCbG	3	238375045	0.00853299	0.0595347	2041	3.52716e-06
BPpGbCdG	3	238375045	0.0174926	0.081991	670	2.1307e-06
BPpGbCuG	3	238375045	0.0184469	0.0768375	569	2.27712e-06
BPpGbCiPC	3	3926445	0.0453899	0.149052	395	5.98164e-05
BPpGbCcSE	3	65258654	0.137114	1.56538	2886	1.20759e-05
BPpGdCrC	3	17663312	0.100264	0.413873	329	1.74339e-05
BPpGdCpD	3	1559197	0.0466394	0.196027	132	1.87017e-05
BPpGdCtD	3	1559197	0.146883	1.3289	1218	5.78846e-05
BPpGdCbG	3	238375045	0.00929805	0.0573755	2790	1.48602e-06
BPpGdCdG	3	238375045	0.0523311	0.655175	3564	4.70558e-06
BPpGdCuG	3	238375045	0.0570825	0.607711	2886	5.07918e-06
BPpGdCiPC	3	3926445	0.0710602	0.26998	644	3.47095e-05
BPpGdCcSE	3	65258654	0.189595	2.45791	3942	8.51977e-06
BPpGuCrC	3	17663312	0.10154	0.416763	220	1.93037e-05
BPpGuCpD	3	1559197	0.0448635	0.17604	157	1.74906e-05
BPpGuCtD	3	1559197	0.160928	1.42217	595	6.4149e-05
BPpGuCbG	3	238375045	0.010515	0.0613916	1411	1.69957e-06
BPpGuCdG	3	238375045	0.0593562	0.719191	1551	5.21586e-06
BPpGuCuG	3	238375045	0.0649213	0.683135	1265	5.66659e-06
BPpGuCiPC	3	3926445	0.0766831	0.288229	309	3.97396e-05
BPpGuCcSE	3	65258654	0.207412	2.54084	1905	9.3862e-06
BPpGaDpC	3	17663312	0.0523195	0.324993	458	2.42782e-05
BPpGaDtC	3	17663312	0.117319	1.04755	841	4.23364e-05
BPpGaDrD	3	1559197	0.495443	5.76757	618	0.000264128
BPpGaDaG	3	238375045	0.127062	1.28514	2099	1.37557e-05
BPpGaDdG	3	238375045	0.0917578	0.485101	362	9.1562e-06
BPpGaDuG	3	238375045	0.0909041	0.495859	520	9.04515e-06
BPpGaDpS	3	4984878	0.546534	7.69417	1257	0.000157948
BPpGdDpC	3	17663312	0.0239606	0.0826038	149	1.30206e-05
BPpGdDtC	3	17663312	0.0396029	0.156151	176	1.79778e-05
BPpGdDrD	3	1559197	0.266467	1.19987	149	0.000113792
BPpGdDaG	3	238375045	0.050387	0.196491	353	5.80706e-06
BPpGdDdG	3	238375045	0.0805877	0.273144	183	1.04767e-05
BPpGdDuG	3	238375045	0.080084	0.277016	204	1.03823e-05
BPpGdDpS	3	4984878	0.264213	1.40374	342	6.20565e-05
BPpGuDpC	3	17663312	0.0243176	0.0857527	157	1.28313e-05
BPpGuDtC	3	17663312	0.0424187	0.18306	246	1.90597e-05
BPpGuDrD	3	1559197	0.284513	1.45644	232	0.000116366
BPpGuDaG	3	238375045	0.0528185	0.221715	420	5.87869e-06
BPpGuDdG	3	238375045	0.0859033	0.313935	223	1.08107e-05
BPpGuDuG	3	238375045	0.0849994	0.31857	295	1.06538e-05
BPpGuDpS	3	4984878	0.275502	1.61161	416	6.27174e-05
BPpGcGpBP	3	129527161	0.15217	0.789768	646	1.00594e-05
BPpGcGpCC	3	15830971	0.157145	0.888811	549	2.62843e-05
BPpGcGbC	3	17663312	0.0598461	0.098977	58	8.52095e-06
BPpGcGdC	3	17663312	0.0517516	0.194036	149	7.12964e-06
BPpGcGuC	3	17663312	0.0482087	0.196106	180	7.33088e-06
BPpGcGaD	3	1559197	0.241209	1.18734	237	6.86432e-05
BPpGcGdD	3	1559197	0.122909	0.850154	174	4.88021e-05
BPpGcGuD	3	1559197	0.120311	0.745326	152	4.73298e-05
BPpGcGcG	3	238375045	0.0992239	0.936954	2256	1.33678e-05
BPpGcGiG	3	238375045	0.0741877	0.249949	3927	6.05363e-06
BPpGcG<rG	3	238375045	0.0534353	0.205587	214	2.37084e-06
BPpGcGr>G	3	238375045	0.0460378	0.210118	719	2.35708e-06
BPpGcGpMF	3	32822804	0.108282	0.543262	602	1.97077e-05
BPpGcGpPW	3	20736182	0.187358	0.772776	1047	2.40275e-05
BPpGiGpBP	3	129527161	0.406032	14.2239	14248	2.37816e-05
BPpGiGpCC	3	15830971	0.374619	11.9854	14505	6.10261e-05
BPpGiGbC	3	17663312	0.186609	1.11162	1808	2.24779e-05
BPpGiGdC	3	17663312	0.157225	3.48392	2765	1.63674e-05
BPpGiGuC	3	17663312	0.145557	2.80038	2161	1.72517e-05
BPpGiGaD	3	1559197	0.608179	27.3813	6024	0.00018648
BPpGiGdD	3	1559197	0.207974	8.11267	2249	8.75519e-05
BPpGiGuD	3	1559197	0.20966	9.01132	2506	9.07475e-05
BPpGiGcG	3	238375045	0.0991001	0.655903	2312	9.43651e-06
BPpGiGiG	3	238375045	0.518663	21.058	41024	2.14014e-05
BPpGiG<rG	3	238375045	0.123242	3.00626	3359	5.4406e-06
BPpGiGr>G	3	238375045	0.147065	3.9116	12569	6.54404e-06
BPpGiGpMF	3	32822804	0.276676	6.73738	7547	4.16402e-05
BPpGiGpPW	3	20736182	0.517464	22.7038	15917	6.91284e-05
BPpG<rGpBP	3	129527161	0.370869	7.36831	5459	9.34202e-06
BPpG<rGpCC	3	15830971	0.323445	5.44267	3458	2.09681e-05
BPpG<rGbC	3	17663312	0.178444	0.766009	993	1.02006e-05
BPpG<rGdC	3	17663312	0.198576	3.87993	2156	1.64883e-05
BPpG<rGuC	3	17663312	0.176008	3.42385	2171	1.54165e-05
BPpG<rGaD	3	1559197	0.519596	16.0384	3239	7.35288e-05
BPpG<rGdD	3	1559197	0.188054	5.1942	949	3.72392e-05
BPpG<rGuD	3	1559197	0.192217	6.03181	1357	3.94013e-05
BPpG<rGcG	3	238375045	0.0831464	0.391357	842	3.52777e-06
BPpG<rGiG	3	238375045	0.274236	2.82652	23950	6.04656e-06
BPpG<rG<rG	3	238375045	0.137527	3.62734	2600	4.58435e-06
BPpG<rGr>G	3	238375045	0.191212	6.86989	21201	9.02183e-06
