year	drug.trtmnt	drug.trtmnt.DrugBankID	roa	class	class.abbrev	halflife.hrs	halflife.hrs.min	therapeutic.area	therapeutic.area.DOID	therapeutic.area.bin	subjects	timepoints	effect	randomized	controlled	notes	reference
1988	propanalol	NA	oral	beta-adrenergic blocker	B-block	4	4.0	hypertension	DOID:10763	hypertension	4	3	more eff	no	yes	8, 14, 20 and 02 hr. No variation in the maximum decrease in heart rate, but time to peak effect was dependent on the time of drug intake	Langner B., Lemmer B. Circadian changes in the pharmacokinetics and cardiovascular effects of oral propranolol in healthy subjects. Eur J Clin Pharmacol 1988;33(6):619–24.
1991	phenatolamine	NA	inj	alpha-adrenergic blocker	A-block	0.3	0.3	hypertension	DOID:10763	hypertension	12	3	more eff	no	yes	7AM more vascular resistance & better response to inj alpha-blocker than 2PM or 9PM	Panza JA., Epstein SE., Quyyumi AA. Circadian variation in vascular tone and its relation to alpha-sympathetic vasoconstrictor activity. N Engl J Med 1991;325(14):986–90.
1992	captopril, hydrochlorothiazide	DB01197, DB00999	oral	angiotensin converting enzyme  + diuretic	ACEi /diuretic	2, 6	2.0	hypertension	DOID:10763	hypertension	13	2	more eff	no	yes	Evening more effective than monring for nighttime BP	Middeke M., Klüglich M., Holzgreve H. Chronopharmacology of captopril plus hydrochlorothiazide in hypertension: morning versus evening dosing. Chronobiol Int 1991;8(6):506–10.
1992	quinapril	DB00881	oral	angiotensin-converting enzyme inhibitor	ACEi	3	3.0	hypertension	DOID:10763	hypertension	18	2	more eff	yes	yes	10PM better than 8AM 	Palatini P. Can an angiotensin-converting enzyme inhibitor with a short half-life effectively lower blood pressure for 24 hours? Am Heart J 1992;123(5):1421–5.
1992	nitrendipine	DB01054	oral	Ca2+ channel blocker	Ca2+	12	12.0	hypertension	DOID:10763	hypertension	41	2	none	yes	yes	Morning vs evening	Meilhac B., Mallion JM., Carre A., et al. [Study of the influence of the time of administration on the antihypertensive effect and nitrendipine tolerance in mild to moderate essential hypertensive patients. Value of ambulatory recording of blood pressure on 24 hours]. Therapie 1992;47(3):205–10.
1993	ramipril	DB00178	oral	angiotensin-converting enzyme inhibitor	ACEi	24	24.0	hypertension	DOID:10763	hypertension	33	2	none	yes	yes	Morning vs evening 	Myburgh DP., Verho M., Botes JH., et al. 24-hour blood pressure control with ramipril: comparison of once-daily morning and evening administration. Curr Ther Res Clin Exp 1995;56(12):1298–306.
1993	amlodipine	DB00381	oral	Ca2+ channel blocker	Ca2+	40	40.0	hypertension	DOID:10763	hypertension	20	2	none	yes	yes	Morning vs evening	Mengden T., Binswanger B., Spühler T., et al. The use of self-measured blood pressure determinations in assessing dynamics of drug compliance in a study with amlodipine once a day, morning versus evening. J Hypertens 1993;11(12):1403–11.
1993	isradipine-ER	NA	oral	Ca2+ channel blocker	Ca2+			hypertension	DOID:10763	hypertension	18	2	none	yes	yes	Morning vs evening	Fogari R., Malacco E., Tettamanti F., et al. Evening vs morning isradipine sustained release in essential hypertension: a double-blind study with 24 h ambulatory monitoring. Br J Clin Pharmacol 1993;35(1):51–4.
1993	enalapril	DB00584	oral	angiotensin-converting enzyme inhibitor	ACEi	35	35.0	hypertension	DOID:10763	hypertension	8	2	more eff	yes	yes	7AM vs 7PM	Witte K., Weisser K., Neubeck M., et al. Cardiovascular effects, pharmacokinetics, and converting enzyme inhibition of enalapril after morning versus evening administration. Clin Pharmacol Ther 1993;54(2):177–86.
1993	benazepril	DB00542	oral	angiotensin-converting enzyme inhibitor	ACEi	10.5	10.5	hypertension	DOID:10763	hypertension	10	2	none	yes	yes	9AM vs pPM	Palatini P., Mos L., Motolese M., et al. Effect of evening versus morning benazepril on 24-hour blood pressure: a comparative study with continuous intraarterial monitoring. Int J Clin Pharmacol Ther Toxicol 1993;31(6):295–300.
1994	nitrendipine	DB01054	oral	Ca2+ channel blocker	Ca2+	12	12.0	hypertension	DOID:10763	hypertension	6	3	more eff	no	yes	6 AM on awakening, at 8:30 AM after breakfast (least effective), and 6 PM after supper (most effective)	Umeda T., Naomi S., Iwaoka T., et al. Timing for administration of an antihypertensive drug in the treatment of essential hypertension. Hypertension 1994;23(1 Suppl):I211–4.
1994	nifedipine-ER	NA	oral	Ca2+ channel blocker	Ca2+	24	24.0	hypertension	DOID:10763	hypertension	10	2	none	yes	yes	10AM vs 10PM	Greminger P., Suter PM., Holm D., et al. Morning versus evening administration of nifedipine gastrointestinal therapeutic system in the management of essential hypertension. Clin Investig 1994;72(11):864–9.
1995	isradipine-ER	NA	oral	Ca2+ channel blocker	Ca2+			hypertension	DOID:10763	hypertension	16	2	more eff	yes	yes	8AM more effective than 8PM	Portaluppi F., Vergnani L., Manfredini R., et al. Time-dependent effect of isradipine on the nocturnal hypertension in chronic renal failure. Am J Hypertens 1995;8(7):719–26.
1997	perindopril	DB00790	oral	angiotensin-converting enzyme inhibitor	ACEi	30	30.0	hypertension	DOID:10763	hypertension	18	2	none	yes	yes	9AM vs 9PM	Morgan T., Anderson A., Jones E. The effect on 24 h blood pressure control of an angiotensin converting enzyme inhibitor (perindopril) administered in the morning or at night. J Hypertens 1997;15(2):205–11.
1998	amlodipine	DB00381	oral	Ca2+ channel blocker	Ca2+	40	40.0	hypertension	DOID:10763	hypertension	12	2	none	yes	yes	8AM vs 8PM	Nold G., Strobel G., Lemmer B. Morning versus evening amlodipine treatment: effect on circadian blood pressure profile in essential hypertensive patients. Blood Press Monit 1998;3(1):17–25.
1999	nislodipine-ER	NA	oral	Ca2+ channel blocker	Ca2+	14	14.0	hypertension	DOID:10763	hypertension	80	2	none	yes	yes	Morning vs evening	White WB., Mansoor GA., Pickering TG., et al. Differential effects of morning and evening dosing of nisoldipine ER on circadian blood pressure and heart rate. Am J Hypertens 1999;12(8 Pt 1):806–14.
2000	imidapril	DB11783	oral	angiotensin-converting enzyme inhibitor	ACEi	15	15.0	hypertension	DOID:10763	hypertension	20	2	none	yes	yes	7AM vs 6PM	Kohno I., Ijiri H., Takusagawa M., et al. Effect of imidapril in dipper and nondipper hypertensive patients: comparison between morning and evening administration. Chronobiol Int 2000;17(2):209–19.
2003	amlodipine	DB00381	oral	Ca2+ channel blocker	Ca2+	40	40.0	hypertension	DOID:10763	hypertension	62	2	more eff	yes	yes	7AM better than 9PM	Qiu Y-G., Chen J-Z., Zhu J-H., et al. Differential effects of morning or evening dosing of amlodipine on circadian blood pressure and heart rate. Cardiovasc Drugs Ther 2003;17(4):335–41.
2003	valsartan	DB00177	oral	angiotensin receptor blocker	ARB	7	7.0	hypertension	DOID:10763	hypertension	90	2	more eff	yes	yes	Bedtime more effective than awakening	Hermida RC., Calvo C., Ayala DE., et al. Administration time-dependent effects of valsartan on ambulatory blood pressure in hypertensive subjects. Hypertension 2003;42(3):283–90.
2004	cilnidipine	DB09232	oral	Ca2+ channel blocker	Ca2+	0.3	0.3	hypertension	DOID:10763	hypertension	13	2	none	yes	yes	Bedtime vs morning	Kitahara Y., Saito F., Akao M., et al. Effect of morning and bedtime dosing with cilnidipine on blood pressure, heart rate, and sympathetic nervous activity in essential hypertensive patients. J Cardiovasc Pharmacol 2004;43(1):68–73.
2004	doxazosin-ER	NA	oral	alpha-adrenergic blocker	A-block	22	22.0	hypertension	DOID:10763	hypertension	91	2	more eff	yes	yes	Bedtime more effective than awakening	Hermida RC., Calvo C., Ayala DE., et al. Administration-time-dependent effects of doxazosin GITS on ambulatory blood pressure of hypertensive subjects. Chronobiol Int 2004;21(2):277–96.
2004	trandolapril	DB00519	oral	angiotensin-converting enzyme inhibitor	ACEi	24	24.0	hypertension	DOID:10763	hypertension	37	2	none	yes	yes	Bedtime vs morning	Kuroda T., Kario K., Hoshide S., et al. Effects of bedtime vs. morning administration of the long-acting lipophilic angiotensin-converting enzyme inhibitor trandolapril on morning blood pressure in hypertensive patients. Hypertens Res 2004;27(1):15–20.
2005	aspirin	NA	oral	NSAID	NSAID	1	1.0	hypertension	DOID:10763	hypertension	257	2	more eff	yes	yes	Bedtime more effective than awakening	Hermida RC., Ayala DE., Calvo C., et al. Differing administration time-dependent effects of aspirin on blood pressure in dipper and non-dipper hypertensives. Hypertension 2005;46(4):1060–8.
2005	valsartan	DB00177	oral	angiotensin receptor blocker	ARB	7	7.0	hypertension	DOID:10763	hypertension	100	2	more eff	yes	yes	Bedtime more effective than awakening	Hermida RC., Calvo C., Ayala DE., et al. Administration time-dependent effects of valsartan on ambulatory blood pressure in elderly hypertensive subjects. Chronobiol Int 2005;22(4):755–76.
2005	valsartan	DB00177	oral	angiotensin receptor blocker	ARB	7	7.0	hypertension	DOID:10763	hypertension	148	2	more eff	yes	yes	Bedtime more effective than awakening	Hermida RC., Calvo C., Ayala DE., et al. Treatment of non-dipper hypertension with bedtime administration of valsartan. J Hypertens 2005;23(10):1913–22.
2006	nebivolol	DB04861	oral	beta-adrenergic blocker	B-block	10	10.0	hypertension	DOID:10763	hypertension	173	2	more eff	yes	yes	Bedtime more effective than awakening	Hermida RC., Calvo C., Ayala DE., et al. Administration time-dependent effects of nebivolol on the diurnal/nocturnal blood pressure ratio in hypertensive patients. Journal of Hypertension, vol. 24. LIPPINCOTT WILLIAMS & WILKINS 530 WALNUT ST, PHILADELPHIA, PA 19106-3621 USA; 2006. p. S89–S89.
2007	telmisartan	DB00966	oral	angiotensin receptor blocker	ARB	24	24.0	hypertension	DOID:10763	hypertension	215	2	more eff	yes	yes	Bedtime more effective than awakening	Hermida RC., Ayala DE., Fernández JR., et al. Comparison of the efficacy of morning versus evening administration of telmisartan in essential hypertension. Hypertension 2007;50(4):715–22.
2008	torasemide	DB00214	oral	diuretic	diuretic	3.5	3.5	hypertension	DOID:10763	hypertension	113	2	more eff	yes	yes	Bedtime more effective than awakening	Hermida RC., Ayala DE., Mojón A., et al. Comparison of the effects on ambulatory blood pressure of awakening versus bedtime administration of torasemide in essential hypertension. Chronobiol Int 2008;25(6):950–70.
2009	aspirin	NA	oral	NSAID	NSAID	1	1.0	hypertension	DOID:10763	hypertension	244	2	more eff	yes	yes	Bedtime more effective than awakening	Hermida RC., Ayala DE., Mojón A., et al. Ambulatory blood pressure control with bedtime aspirin administration in subjects with prehypertension. Am J Hypertens 2009;22(8):896–903.
2009	olmesartan	DB00275	oral	angiotensin receptor blocker	ARB	13	13.0	hypertension	DOID:10763	hypertension	123	2	more eff	yes	yes	Bedtime more effective than awakening	Hermida RC., Ayala DE., Chayan L., et al. Administration-time-dependent effects of olmesartan on the ambulatory blood pressure of essential hypertension patients. Chronobiol Int 2009;26(1):61–79.
2009	nifedipine-ER	NA	oral	Ca2+ channel blocker	Ca2+	24	24.0	hypertension	DOID:10763	hypertension	180	2	more eff	yes	yes	Bedtime more effective than awakening	Hermida RC., Ayala DE., Mojón A., et al. Chronotherapy with nifedipine GITS in hypertensive patients: improved efficacy and safety with bedtime dosing. Am J Hypertens 2008;21(8):948–54.
2009	ramipril	DB00178	oral	angiotensin-converting enzyme inhibitor	ACEi	24	24.0	hypertension	DOID:10763	hypertension	115	2	more eff	yes	yes	Nighttime more effective than morning	Hermida RC., Ayala DE. Chronotherapy with the angiotensin-converting enzyme inhibitor ramipril in essential hypertension: improved blood pressure control with bedtime dosing. Hypertension 2009;54(1):40–6.
2010	spirapril	DB01348	oral	angiotensin-converting enzyme inhibitor	ACEi	40	40.0	hypertension	DOID:10763	hypertension	165	2	more eff	yes	yes	Nighttime more effective than morning	Hermida RC., Ayala DE., Fontao MJ., et al. Administration-time-dependent effects of spirapril on ambulatory blood pressure in uncomplicated essential hypertension. Chronobiol Int 2010;27(3):560–74.
2010	amlodipine, olmesartan	DB00381, DB00275	oral	Ca2+ channel blocker  + angiotensin receptor blocker	Ca2+/ARB	40, 13	13.0	hypertension	DOID:10763	hypertension	31	2	more eff	yes	yes	Evening more effective than morning	Hoshino A., Nakamura T., Matsubara H. The bedtime administration ameliorates blood pressure variability and reduces urinary albumin excretion in amlodipine-olmesartan combination therapy. Clin Exp Hypertens 2010;32(7):416–22.
2010	amlodipine, valsartan	DB00381, DB00177	oral	Ca2+ channel blocker  + angiotensin receptor blocker	Ca2+/ARB	40, 7	7.0	hypertension	DOID:10763	hypertension	203	2	more eff	yes	yes	Evening more effective than morning	Hermida RC., Ayala DE., Fontao MJ., et al. Chronotherapy with valsartan/amlodipine fixed combination: improved blood pressure control of essential hypertension with bedtime dosing. Chronobiol Int 2010;27(6):1287–303.
2011	amlodipine, valsartan	DB00381, DB00177	oral	Ca2+ channel blocker  + angiotensin receptor blocker	Ca2+/ARB	40, 7	7.0	hypertension	DOID:10763	hypertension	463	2	none	yes	yes	Morning vs evening	Asmar R., Gosse P., Queré S., et al. Efficacy of morning and evening dosing of amlodipine/valsartan combination in hypertensive patients uncontrolled by 5 mg of amlodipine. Blood Press Monit 2011;16(2):80–6.
2011	amlodipine, hydrochlorothiazide	DB00381, DB00999	oral	Ca2+ channel blocker  + diuretic	Ca2+/diuretic	40, 6	6.0	hypertension	DOID:10763	hypertension	80	2	more eff	yes	yes	10PM better than 8AM 	Zeng J., Jia M., Ran H., et al. Fixed-combination of amlodipine and diuretic chronotherapy in the treatment of essential hypertension: improved blood pressure control with bedtime dosing-a multicenter, open-label randomized study. Hypertens Res 2011;34(6):767–72.
2012	candesartan	DB13919	oral	angiotensin receptor blocker	ARB	9	9.0	hypertension	DOID:10763	hypertension	109	2	more eff	yes	yes	Bedtime more effective in improving BRS and urinary ablumin – a measure of renal target organ damage, than morning	Eguchi K., Shimizu M., Hoshide S., et al. A bedtime dose of ARB was better than a morning dose in improving baroreflex sensitivity and urinary albumin excretion--the J-TOP study. Clin Exp Hypertens 2012;34(7):488–92.
2013	aspirin	NA	oral	NSAID	high-risk pregnancy	1	1.0	high-risk pregnancy		other	350	3	more eff	yes	yes	Bedtime or evening points more effective than awakening	Ayala DE., Ucieda R., Hermida RC. Chronotherapy with low-dose aspirin for prevention of complications in pregnancy. Chronobiol Int 2013;30(1-2):260–79.
2013	valsartan	DB00177	oral	angiotensin receptor blocker	ARB	7	7.0	hypertension	DOID:10763	hypertension	60	2	more eff	yes	yes	Nondipping BP patients treated with bedtime doses of valsartan showed a greater reduction in 24-hour proteinuria and bedtime proteinuria, a greater delayed decline in estimated glomerular filtration rate, and more protection against myocardial hypertrophy (P<.05) compared with patients with the nondipping BP pattern treated with the awakening dose (P<.05). This was similar to patients with dipping BP.	Wang C., Zhang J., Liu X., et al. Effect of valsartan with bedtime dosing on chronic kidney disease patients with nondipping blood pressure pattern. J Clin Hypertens 2013;15(1):48–54.
2015	valsartan	DB00177	oral	angiotensin receptor blocker	ARB	7	7.0	hypertension	DOID:10763	hypertension	1093	2	none	yes	yes	Mean 24-h ambulatory SBP change from baseline was comparable between valsartan a.m. (-10.6 and -13.3 mmHg) and p.m. (-9.8 and -12.3 mmHg) and lisinopril (-10.7 and -13.7 mmHg). There was no benefit of valsartan p.m. versus a.m. on night-time BP, early morning BP and morning BP surge. Evening dosing also did not improve BP lowering in patients requiring add-on HCTZ or in nondippers at baseline. All treatments were well tolerated.	Zappe DH., Crikelair N., Kandra A., et al. Time of administration important? Morning versus evening dosing of valsartan. J Hypertens 2015;33(2):385–92.
2015	aspirin	NA	oral	NSAID	NSAID	1	1.0	hypertension	DOID:10763	hypertension	290	2	more eff	yes	yes	Low-dose aspirin at bedtime compared with intake on awakening did not reduce blood pressure of patients with CVD. However, bedtime aspirin reduced morning platelet reactivity.	Bonten TN., Snoep JD., Assendelft WJJ., et al. Time-dependent effects of aspirin on blood pressure and morning platelet reactivity: a randomized cross-over trial. Hypertension 2015;65(4):743–50.
1966	cyproheptadine	DB00434	oral	antihistamineH1	antihistH1	8	8.0	skin allergy		allergy (skin / rhinitis)	6	2	more eff / duration	no	yes	7AM longer duration of effect than 7PM	Reinberg A., Sidi E. Circadian changes in the inhibitory effects of an antihistaminic drug in man. J Invest Dermatol 1966;46(4):415–9.
1978	terfenadine	DB00342	oral	antihistamineH1	antihistH1	3.5	3.5	skin allergy		allergy (skin / rhinitis)	10	2	more eff / duration	yes	yes	7AM longer duration of effect than 7PM; 7PM greater effect than 7AM	Reinberg A., Levi F., Guillet P., et al. Chronopharmacological study of antihistamines in man with special references to terfenadine. Eur J Clin Pharmacol 1978;14(4):245–52.
1985	mequitazine	DB01071	oral	antihistamineH1	antihistH1	18	18.0	allergic rhinitis	DOID:4481	allergy (skin / rhinitis)	1053	2	more eff / less Aes	yes	yes	Therapeutic effect greatest when two-thirds (7.5 mg) or all (10 mg) the daily dose was ingested around dinner time compared to morning; ne major adverse effect of the antihistamine, dry mouth, was minimized or completely averted by the evening high-dose schedules	Reinberg A., Gervais P., Ugolini C., et al. A multicentric chronotherapeutic study of mequitazine in allergic rhinitis. Annu Rev Chronopharmacol 1985;3:441–4.
2005	desloratadine	DB00967	oral	antihistamineH1	antihistH1	50	50.0	allergic rhinitis	DOID:4481	allergy (skin / rhinitis)	663	2	none	yes	yes	Morning no different from evening	Haye R., Høye K., Berg O., et al. Morning versus evening dosing of desloratadine in seasonal allergic rhinitis: a randomized controlled study [ISRCTN23032971]. Clin Mol Allergy 2005;3(1):3.
2018	liver transplant	NA	surgical	surgery	liver transplant			liver allograft-viral infection		other	13	2	more eff	yes	yes	Morning transplants had higher frequency of rebound in viral RNA levels (n=4/6) during the first week post-surgery compared to Afternoon	Zhuang X., Lai AG., McKeating JA., et al. Daytime variation in hepatitis C virus replication kinetics following liver transplant. Wellcome Open Res 2018;3:96.
2013	lixisenatide	DB09265	inj	glucoagon-like peptide-1 receptor agonist	diabetes	3	3.0	diabetes	DOID:9352	other	680	2	none	yes	yes	No difference morning vs evening	Ahrén B., Leguizamo Dimas A., Miossec P., et al. Efficacy and safety of lixisenatide once-daily morning or evening injections in type 2 diabetes inadequately controlled on metformin (GetGoal-M). Diabetes Care 2013;36(9):2543–50.
2011	levothyroxine	DB00451	oral	synthetic hormone	hypothyroidism	48	48.0	hypothyroidism	DOID:1459	other	152	2	none	yes	yes		
2006	phenytoin, carbamazepine	DB00252, DB00564	oral	anti-epileptics	epilepsy	22, 12 (note: after single oral doses of carbamazepine, the absorption is fairly complete and the elimination half-life is about 35 hours (range 18 to 65 hours). During multiple dosing, the half-life is decreased to 10-20 hours, probably due to autoinduction of the oxidative metabolism of the drug).	12.0	epilepsy	DOID:1826	other	103	2	less tox	yes	yes	The findings of this study indicate that a chronotherapeutic dosing schedule of phenytoin and carbamazepine involving the administration of most or all the daily dose of medication(s) at 20:00 h can improve the response of diurnally active epileptic patients not responding to standard doses, achieve therapeutic drug levels, and reduce toxic manifestations in subjects having drug concentrations beyond the therapeutic range.	Yegnanarayan R., Mahesh SD., Sangle S. Chronotherapeutic dose schedule of phenytoin and carbamazepine in epileptic patients. Chronobiol Int 2006;23(5):1035–46.
1996	dextromethamphetamine	NA	oral	amphetamines	cognition	4.5	4.5	cognitive performance		other	10	2	more eff	yes	yes	Cognitive performance and subjective fatigue improved after daytime administration (4:30PM) of dextromethamphetamine in comparison to performance before drug administration. This effect was suppressed during the circadian trough, which occurred approximately 8 hours into the night sessions (4:30 AM). No correlations were seen between serum concentration of methamphetamine and measured behavioral parameters.	Shappell SA., Kearns GL., Valentine JL., et al. Chronopharmacokinetics and chronopharmacodynamics of dextromethamphetamine in man. J Clin Pharmacol 1996;36(11):1051–63.
